settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,religion,religion_idx,overall_population_2020,altitude_avg,crime_score_percent,district_name,district_idx,T,S,R,Q,P,O,N,M,L,K,J,  I,  H,G,F,E,D,B-C,A,nature_rate
עילוט,511,24.22,2.87,62.58,50.32,2.94,16,1.17,197,28.93,11.55,2.82,-1.41,-0.87,-1.86,0.19,-0.45,-1.66848135,,לא יהודי,3,8537,275,22.3614853,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.872975047
משהד,520,25.73,,65.08,49.21,10.59,35,2.7,226,33.19,10.68,2.91,-1.11,-0.55,-1.14,-0.57,-0.9,-1.807782266,,לא יהודי,3,8486,270,1.673344332,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.765147497
זרזיר,975,24.53,,59.73,44.97,10.02,23,2.2,188,35.64,12.12,2.74,-1.37,-1.2,-1.33,-1.13,-1.36,-1.699953038,,לא יהודי,3,8275,183,21.36555891,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.023036156
אלפי מנשה,"3,750",29.09,0.45,81.2,75.21,36.51,,2.56,124,40.32,17.73,1.76,0.56,1.06,0.81,1.07,1.39,-0.203242088,,יהודי,1,7997,183,1.663123671,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.4072075
בסמת טבעון,944,22.94,0.73,63.01,45.89,8.11,29.5,2.05,164,36.59,12.78,2.53,-1.38,-1.44,-1.26,-0.39,-1.25,-1.695825604,,לא יהודי,3,7997,189,4.064024009,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.663060931
רמת ישי,122,30.32,0.44,79.8,75.76,52.18,,4.76,80,37.5,20.69,1.43,1.27,1.27,0.96,0.89,1.06,-1.693245957,,יהודי,1,7897,93,1.481575282,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.956543638
ראמה,543,27.24,0.9,75,62.88,20.53,38.7,3.39,216,27.78,8.22,3.88,-0.34,-0.16,-0.06,-0.68,-0.48,-1.816037135,,לא יהודי,3,7792,382,1.167864476,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.634801554
אבו גוש,472,22.58,4.93,59.29,37.17,13.03,,3.74,183,33.33,9.91,3.06,-1.22,-1.05,-1,-1.64,-1.72,-1.381624649,,לא יהודי,3,7771,686,2.77956505,ירושלים,9,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,1.087588248
עומר,666,28.66,0.83,86.89,83.61,59.72,,4.06,135,42.22,14.23,2.31,2.51,4.04,1.83,2.14,1.95,-1.809330054,,יהודי,1,7570,331,13.09114927,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.772873284
קצרין,"4,100",23.58,2.01,66.67,54.05,17.46,,3.36,169,37.87,10.17,3.1,-0.15,-0.02,0.2,0.96,0.68,-1.904776977,,יהודי,1,7500,331,2.733333333,גולן,3,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,1.539359875
קריית ארבע,"3,611",20.85,2.11,68.33,55,26.43,35.7,4.5,365,39.18,5.69,4.96,0.33,-0.17,0.45,0.21,-0.16,-1.904776977,,יהודי,1,7338,913,,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.81803157
בית דגן,466,29,0.7,85.84,79.65,26.05,42.5,3.13,51,37.25,33.28,0.9,0.08,-0.12,0.15,0.91,2.29,3.343771971,,יהודי,1,7299,34,1.06863954,רמלה,15,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11,3.7,,,10,,0.355132009
זמר,"1,290",24.76,1.56,57.86,52.14,12.73,33.6,2.7,139,41.73,12.79,2.62,-0.94,-0.91,-0.78,-0.91,-0.69,-1.856795551,,לא יהודי,3,7252,86,2.564809708,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.206737558
שעב,538,23.58,2.82,51.24,36.36,9.96,,2.9,159,34.59,11.48,2.99,-0.89,-0.75,-1.47,-1.41,-1.41,-1.821712357,,לא יהודי,3,7228,52,2.684006641,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.92132823
"בני עי""ש","1,066",26.43,1.75,66.28,51.16,12.23,,2.25,,,,,0.47,-0.49,0.29,-0.32,-0.32,-1.635977803,,יהודי,1,6925,75,,רחובות,14,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6,3.6,5.1,12,4.2,0.3,0.3,9.8,0.6,0.451657723
יאנוח-ג'ת,"1,295",23.43,2.27,82.76,60.34,16.21,35.4,2.82,161,47.83,10.13,3.35,-0.61,-1.21,-0.77,-1.52,-0.99,-1.840285813,,לא יהודי,3,6775,466,,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.339588526
שלומי,812,27.6,,66,54,16.21,,2.11,114,36.84,12.91,2.51,-0.53,-0.69,0.09,0.52,0.27,-1.869693784,,יהודי,1,6754,72,1.214095351,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.990229167
להבים,"1,271",28.79,0.55,87.5,82.81,70.26,58.3,6.35,,,,,1.75,2.35,1.69,0.43,1.24,-1.78920881,,יהודי,1,6694,296,5.781296684,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.794109205
בוקעאתא,"4,001",23.43,,84.75,66.95,6.18,,2.62,151,44.37,9.99,3.38,-0.88,-0.84,-1.38,-2.76,-1.52,-1.904261048,,לא יהודי,3,6665,1096,,גולן,3,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,0.990693937
פרדסייה,171,27.89,0.95,90.8,78.16,48.06,48.2,4.3,,,,,0.01,-0.15,0.65,0.46,0.86,-1.213947621,,יהודי,1,6641,52,,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.376816834
ג'ולס,485,24,0.78,71.3,62.96,19.55,,3.97,127,46.46,10.75,2.92,1.98,2.18,1.25,0.67,0.68,-1.836158378,,לא יהודי,3,6567,111,,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.828020106
חורפיש,496,24.11,,91.15,81.42,22.69,44.5,4.37,158,34.18,9.62,3.36,-0.42,-0.36,-0.44,-1.15,-1.06,-1.852152187,,לא יהודי,3,6490,677,1.402157165,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.481923604
קריית יערים,"1,137",24.88,1.69,24.07,18.52,15.67,,2.13,87,18.39,13.98,1.5,-0.4,0.7,0.52,-0.92,-0.47,-1.380076861,,יהודי,1,6238,710,,ירושלים,9,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,1.122629338
שבלי - אום אל-גנם,913,24.93,6.19,56.25,45.83,11.03,,2.26,159,43.4,12.46,2.55,-1.22,-1.36,-1.13,-1.12,-1.22,-1.80417076,,לא יהודי,3,6151,179,,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.302010047
פקיעין (בוקייעה),536,25.85,0.55,92.71,88.54,20.12,43.1,3.62,106,28.3,11.16,2.84,0.17,-0.1,-0.33,-0.72,-0.43,-1.852668116,,לא יהודי,3,5975,618,,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.536112996
עיילבון,530,29.22,1.56,55.34,47.57,21.47,,3.54,98,37.76,13.22,2.6,0.22,0.23,-0.32,-1,-0.47,-1.844413247,,לא יהודי,3,5787,173,1.434249179,כנרת,10,1,3.4,,11.9,14.3,14.3,5.5,3,,1.6,1.3,7.7,4.2,11.7,5.6,,,10.2,2.5,1.12429759
בית אל,"3,574",27.5,0.82,89.76,79.53,47.92,39.3,6.44,320,50.31,6.71,4.49,1.17,0.76,0.96,0.02,-0.28,-1.886203522,,יהודי,1,5684,853,22.67769177,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.606658716
כעביה-טבאש-חג'אג'רה,978,26.27,0.4,66.67,45.19,12.83,,2.61,135,43.7,12.06,2.72,-0.78,-1.29,-1.22,0.67,-1.13,-1.695309674,,לא יהודי,3,5624,164,,יזרעאל,8,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.92671124
כפר ורדים,"1,263",28.23,,82.46,80.7,55.31,,4.45,165,48.48,7.52,4.2,2.17,1.92,1.53,0.84,1.86,-1.841833601,,יהודי,1,5492,533,4.096868172,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.225424683
מצפה רמון,99,18.38,2.22,87.93,75.86,22.75,30.9,3.28,159,27.04,7.64,3.66,-0.72,-0.74,0.22,0.32,-0.43,-1.769087567,,יהודי,1,5185,712,4.12729026,באר שבע,2,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.955155804
קדומים,"3,557",24.13,1.56,84.78,77.17,54.37,,4.17,216,47.69,6.94,4.15,0.78,1.38,0.85,0.39,-0.09,-1.904776977,,יהודי,1,4586,417,1.439162669,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.303940737
כפר תבור,47,25.71,,86.84,80.26,52.48,,4.53,,,,,1.34,1.49,1.09,1.35,1.96,-1.827903509,,יהודי,1,4400,102,0.863636364,כנרת,10,1,3.4,,11.9,14.3,14.3,5.5,3,,1.6,1.3,7.7,4.2,11.7,5.6,,,10.2,2.5,0.788040354
סאג'ור,525,25.13,0.65,78.48,67.09,16.12,,3.68,89,42.7,11.88,2.67,-0.66,-0.75,-0.75,-1,-1.29,-1.809845983,,לא יהודי,3,4358,342,1.353832033,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.543362963
יבנאל,46,17.34,9.53,54.93,36.62,15.85,,1.85,109,16.51,11.59,3.23,-0.54,-0.71,-0.03,0.89,0.36,-1.845445106,,יהודי,1,4332,14,3.070175439,כנרת,10,1,3.4,,11.9,14.3,14.3,5.5,3,,1.6,1.3,7.7,4.2,11.7,5.6,,,10.2,2.5,0.941266297
עמנואל,"3,660",15.17,3.49,43.28,20.9,6.68,,0.79,103,23.3,10.92,2.31,-0.9,-0.81,-0.05,-0.73,-0.28,-1.900133613,,יהודי,1,4129,363,2.567207556,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.694954704
הר אדר,"3,769",27.11,,90.48,88.1,55.7,,4.97,,,,,2.05,2.74,1.65,1.65,1.9,-1.904776977,,יהודי,1,4084,826,2.693437806,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.88337519
מזרעה,517,25.58,,60.38,49.06,10.2,,1.97,57,26.32,14.17,2.17,-1.23,-1.08,-1.16,-0.84,-1.21,-1.884655734,,לא יהודי,3,3998,14,4.052026013,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.077344898
אלקנה,"3,560",26.6,0,96.83,92.06,68.87,,6.72,152,48.03,5.96,5.11,2.6,3.52,1.46,0.73,1.08,-0.97300863,,יהודי,1,3911,228,1.099463053,יהודה ושומרון,7,0.7,3,2.1,12.8,24.8,15.5,3.6,6.1,1,2.2,5.4,2.9,3.1,7.3,2.7,,0.3,5.9,,0.59248446
כפר ברא,633,29.33,2.54,65.79,44.74,15.39,,3.4,111,32.43,8.84,3.27,-0.41,-0.21,-0.55,-1.48,-1.42,1.535955642,,לא יהודי,3,3754,108,2.876931273,פתח תקווה,12,1.8,2.4,1.9,10.8,10.6,10.4,4,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.513705717
מסעדה,"4,203",26.44,,87.72,70.18,5.42,,2.73,124,39.52,7.69,4.28,-1.09,-0.94,-1.23,-2.8,-1.7,-1.904776977,,לא יהודי,3,3753,1035,10.71143086,גולן,3,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,1.224011088
כאוכב אבו אל-היג'א,505,28.2,0.89,92.31,70.77,20.99,,4.01,96,38.54,9.97,3.34,-0.64,-0.23,-0.72,-1.56,-1.53,-1.904776977,,לא יהודי,3,3668,368,,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.233524472
אליכין,41,21.5,0.84,60.78,50.98,26.27,,2.84,,,,,-0.14,-0.31,0.18,0.95,1.09,-1.575614073,0.887161818,יהודי,1,3484,31,2.898966705,השרון,4,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.510647769
כפר כמא,508,21.83,,53.57,53.57,23.19,,4.81,,,,,-0.46,-1.31,-0.28,-0.73,-0.81,-1.837706166,,לא יהודי,3,3426,209,0.642148278,כנרת,10,1,3.4,,11.9,14.3,14.3,5.5,3,,1.6,1.3,7.7,4.2,11.7,5.6,,,10.2,2.5,0.790153158
מעיליא,518,23.83,,75.44,75.44,31.46,,3.97,76,44.74,10.2,3.31,0.28,0.8,0.59,-0.37,-0.03,-1.848540682,,לא יהודי,3,3270,502,3.79204893,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.748034116
ראש פינה,26,29.43,1.82,72.73,68.18,38.35,,4.28,,,,,0.25,0.67,0.64,1.63,1.38,-1.903229189,,יהודי,1,3217,308,9.729561703,צפת,13,,3.6,3.1,10.6,13.4,11.2,3.9,4.1,,1.5,0.9,8.6,4.5,8,3.7,,,14.8,6.8,1.380559935
פסוטה,535,25.8,,74.19,72.58,23.54,,4.56,,,,,-0.47,-0.88,-0.48,-0.83,-0.23,-1.904776977,,לא יהודי,3,3180,566,1.352201258,עכו,11,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.252407274
ג'ש (גוש חלב),487,24.42,0,68.29,63.41,25.58,,4.4,56,37.5,14.48,2.33,0.42,0.28,0.47,0.4,0.57,-1.904776977,,לא יהודי,3,3127,744,,צפת,13,,3.6,3.1,10.6,13.4,11.2,3.9,4.1,,1.5,0.9,8.6,4.5,8,3.7,,,14.8,6.8,1.488458464
