סמל היישוב,שם יישוב,"סה""כ",זכר,נקבה
684,היוגב,745,369,376
"1,208",הילה,579,291,288
377,המעפיל,860,424,435
677,הסוללים,963,495,468
423,העוגן,932,461,470
"3,769",הר אדר,"4,084","2,042","2,041"
"3,603",הר גילה,"1,627",796,831
"1,261",הר עמשא,220,110,111
464,הראל,258,133,125
"1,249",הרדוף,"1,105",537,569
"6,400",הרצלייה,"98,966","48,241","50,726"
"1,203",הררית,585,292,293
"3,639",ורד יריחו,360,182,178
"1,133",ורדון,272,135,138
815,זבדיאל,574,285,289
44,זוהר,356,196,160
584,זיקים,857,441,416
788,זיתן,"1,039",531,507
"9,300",זכרון יעקב,"23,437","11,520","11,918"
799,זכריה,"1,103",535,568
"1,065",זמרת,648,336,312
816,זנוח,541,288,253
"2,064",זרועה,500,256,244
818,זרחיה,740,373,367
235,חבצלת השרון,487,284,203
"1,110",חבר,676,334,342
717,חגור,"1,143",570,572
"3,764",חגי,676,368,308
205,חגלה,864,398,466
"4,026",חד-נס,854,459,394
618,חדיד,903,457,446
"6,500",חדרה,"98,908","48,579","50,330"
160,חולדה,"1,134",574,560
"6,600",חולון,"197,246","95,383","101,864"
"1,239",חולית,205,101,104
253,חולתה,705,352,353
662,חוסן,"1,176",583,593
115,חופית,801,398,403
374,חוקוק,602,310,292
355,חורשים,338,165,174
"1,047",חזון,296,144,152
219,חיבת ציון,806,412,394
"3,643",חיננית,"1,477",766,711
162,חירות,"1,267",606,661
"1,272",חלוץ,534,267,267
820,חלץ,478,250,227
801,"חמ""ד","1,317",772,545
343,חמדיה,404,197,207
"3,646",חמדת,310,177,133
"3,609",חמרה,259,82,176
807,חניאל,924,448,476
280,חניתה,746,359,387
"1,257",חנתון,992,502,490
"4,005",חספין,"2,007","1,382",625
363,חפץ חיים,557,276,280
90,חפצי-בה,723,328,396
700,חצב,"1,508",757,750
13,חצבה,694,350,344
406,חצור-אשדוד,648,322,326
"2,034",חצור הגלילית,"9,568","4,914","4,655"
397,חצרים,850,407,444
422,חרב לאת,930,586,343
"1,024",חרוצים,857,425,433
"1,247",חריש,"19,567","9,696","9,871"
"3,717",חרמש,229,120,110
"1,209",חרשים,356,174,182
"3,770",חשמונאים,"2,712","1,340","1,371"
"6,700",טבריה,"45,867","22,980","22,887"
663,טירת יהודה,"1,237",604,633
"2,100",טירת כרמל,"24,296","11,977","12,319"
268,טירת צבי,923,531,391
"1,181",טל-אל,"1,200",626,573
462,טל שחר,"1,391",704,687
"1,177",טללים,562,268,294
"3,788",טלמון,"4,882","2,472","2,409"
"3,743",טנא,925,484,442
"1,214",טפחות,509,311,197
"1,232",יבול,354,177,178
46,יבנאל,"4,332","2,161","2,171"
"2,660",יבנה,"49,836","24,802","25,034"
96,יגור,"1,636",809,827
798,יגל,907,439,467
577,יד בנימין,"4,253","2,166","2,087"
"1,134",יד השמונה,293,140,153
758,יד חנה,959,482,477
358,יד מרדכי,745,397,348
775,יד נתן,659,350,309
64,"יד רמב""ם","1,119",544,575
"1,144",ידידה,228,167,61
"9,400",יהוד-מונוסון,"30,020","14,716","15,304"
"1,158",יהל,233,119,115
"2,009",יובל,640,326,315
"1,226",יובלים,"1,088",530,558
"1,112",יודפת,907,465,442
"4,007",יונתן,770,328,442
803,יושיביה,700,359,341
452,יזרעאל,552,260,292
409,יחיעם,720,378,342
866,יטבתה,720,356,364
"3,607","ייט""ב",322,146,176
811,יכיני,725,368,357
753,ינוב,930,499,431
"2,011",ינון,"1,213",625,588
29,יסוד המעלה,"1,761",860,901
440,יסודות,992,636,357
575,יסעור,883,439,445
"1,138",יעד,695,351,344
"1,044",יעף,309,159,150
795,יערה,749,385,364
"3,566",יפית,218,106,112
134,יפעת,"1,204",613,592
453,יפתח,582,289,293
"3,749",יצהר,"1,838",995,843
759,יציץ,837,430,406
417,יקום,774,391,383
"3,647",יקיר,"2,368","1,184","1,184"
241,יקנעם (מושבה),"1,384",683,700
240,יקנעם עילית,"24,091","11,875","12,216"
623,יראון,403,203,200
"2,026",ירדנה,359,179,180
831,ירוחם,"10,773","5,723","5,050"
718,ירחיב,"1,096",560,536
183,ירקונה,368,178,190
916,ישע,426,218,208
805,ישעי,806,408,398
828,ישרש,991,507,484
"1,227",יתד,537,288,249
576,כברי,"1,068",521,547
371,כדורי,202,119,83
"1,338",כדיתה,190,105,85
"3,564",כוכב השחר,"2,450","1,324","1,125"
"1,224",כוכב יאיר,"8,735","4,401","4,334"
"3,779",כוכב יעקב,"9,116","4,341","4,775"
824,כוכב מיכאל,"1,090",578,512
"1,252",כורזים,335,156,179
"1,210",כחל,464,235,229
840,כיסופים,286,138,149
"1,153",כישור,213,129,84
"1,183",כליל,784,387,397
"1,229",כלנית,251,139,113
"1,291",כמהין,247,127,120
"1,201",כמון,"1,403",695,708
"2,006",כנות,454,249,205
"4,028",כנף,470,228,242
63,כנרת (מושבה),694,352,342
57,כנרת (קבוצה),694,347,347
859,כסלון,470,252,218
857,כפר אביב,835,420,415
"3,638",כפר אדומים,"4,785","2,437","2,348"
364,כפר אוריה,919,472,446
690,כפר אחים,888,444,444
220,כפר ביאליק,845,450,395
177,"כפר ביל""ו","1,269",645,624
357,כפר בלום,782,375,407
"2,010",כפר בן נון,732,365,367
132,כפר ברוך,615,316,299
106,כפר גדעון,335,177,158
427,כפר גלים,387,221,167
310,כפר גליקסון,347,169,178
76,כפר גלעדי,686,324,362
707,כפר דניאל,698,354,344
"3,796",כפר האורנים,"2,614","1,342","1,273"
192,כפר החורש,725,353,372
254,כפר המכבי,402,197,205
582,כפר הנגיד,"1,241",639,602
890,כפר הנוער הדתי,376,188,188
443,כפר הנשיא,961,471,490
187,כפר הס,"1,595",792,803
217,"כפר הרא""ה","1,475",874,601
888,"כפר הרי""ף",834,434,400
190,כפר ויתקין,"1,963",976,987
320,כפר ורבורג,"1,147",555,593
"1,263",כפר ורדים,"5,492","2,673","2,819"
"1,325",כפר זוהרים,148,118,30
786,כפר זיתים,796,455,341
696,"כפר חב""ד","6,733","3,465","3,268"
609,כפר חושן,791,409,382
255,כפר חיטים,606,327,279
193,כפר חיים,635,319,317
"1,297",כפר חנניה,762,392,370
112,כפר חסידים א',837,423,414
889,כפר חסידים ב',305,151,154
"4,004",כפר חרוב,455,244,211
673,כפר טרומן,875,432,443
233,כפר ידידיה,734,381,353
140,כפר יהושע,"1,223",602,621
168,כפר יונה,"26,182","13,019","13,164"
85,כפר יחזקאל,"1,214",621,593
170,כפר יעבץ,683,339,344
387,כפר מונש,941,458,482
"1,095",כפר מימון,419,215,204
98,"כפר מל""ל",325,165,160
274,כפר מנחם,"1,345",683,662
297,כפר מסריק,869,458,411
764,כפר מרדכי,656,321,336
316,כפר נטר,"1,158",563,596
345,כפר סאלד,689,339,350
"6,900",כפר סבא,"101,830","49,144","52,686"
107,כפר סילבר,399,196,203
249,כפר סירקין,"1,528",752,776
875,כפר עבודה,225,112,113
845,כפר עזה,742,384,358
"3,488",כפר עציון,"1,203",772,431
189,כפר פינס,"1,088",300,788
388,כפר קיש,663,344,319
579,כפר ראש הנקרה,"1,377",670,708
"1,130",כפר רוזנואלד (זרעית),244,126,118
295,כפר רופין,532,270,262
"1,166",כפר רות,272,141,130
605,כפר שמאי,574,292,282
743,כפר שמואל,958,488,471
267,כפר שמריהו,"1,925",943,982
47,כפר תבור,"4,400","2,174","2,227"
"3,572",כפר תפוח,"1,473",728,746
"1,285",כרכום,528,266,262
664,כרם בן זמרה,530,272,258
88,כרם בן שמן,82,41,40
"1,094",כרם יבנה (ישיבה),529,376,153
580,"כרם מהר""ל",783,401,382
"1,085",כרם שלום,191,101,91
"1,264",כרמי יוסף,"1,723",872,851
"3,766",כרמי צור,995,492,503
"1,374",כרמי קטיף,611,301,310
"1,139",כרמיאל,"46,122","22,480","23,642"
768,כרמייה,653,303,350
"1,198",כרמים,508,250,258
"3,656",כרמל,447,237,211
"1,207",לבון,721,365,356
585,לביא,615,307,308
"1,230",לבנים,426,206,221
"2,023",להב,658,312,346
380,להבות הבשן,912,448,463
715,להבות חביבה,"1,044",513,531
"1,271",להבים,"6,694","3,316","3,377"
52,לוזית,835,407,428
595,לוחמי הגיטאות,783,401,382
"1,171",לוטם,788,397,391
"1,255",לוטן,180,96,84
674,לימן,666,343,323
24,לכיש,791,410,381
"1,310",לפיד,"2,359","1,168","1,190"
"1,173",לפידות,130,60,70
"2,055",מאור,"1,436",721,714
102,מאיר שפיה,336,188,148
771,מבוא ביתר,"1,005",518,488
"3,569",מבוא דותן,478,243,235
"3,709",מבוא חורון,"2,686","1,423","1,264"
"4,204",מבוא חמה,473,231,242
"1,141",מבוא מודיעים,246,125,121
"1,318",מבואות ים,369,236,133
"1,080",מבועים,"1,245",613,632
829,מבטחים,465,239,226
573,מבקיעים,478,251,228
"1,015",מבשרת ציון,"24,247","12,017","12,231"
689,מגדים,"1,380",694,686
65,מגדל,"1,980","1,007",972
874,מגדל העמק,"25,722","12,775","12,946"
"3,561",מגדל עוז,576,247,330
"3,751",מגדלים,505,272,233
586,מגידו,848,420,428
375,מגל,"1,149",576,573
695,מגן,535,267,268
"1,155",מגן שאול,705,367,338
722,מגשימים,"1,089",549,541
"2,029",מדרך עוז,794,377,416
"1,140",מדרשת בן גוריון,"1,958",953,"1,005"
897,מדרשת רופין,226,131,95
"1,200",מודיעין-מכבים-רעות*,"94,657","46,829","47,829"
"3,797",מודיעין עילית,"77,967","39,232","38,735"
269,מולדת,"1,089",549,540
208,מוצא עילית,"1,230",593,638
"1,163",מורן,473,224,249
"1,178",מורשת,"1,544",762,782
606,מזור,"1,318",670,647
28,מזכרת בתיה,"15,093","7,450","7,643"
104,מזרע,802,388,415
"3,599",מחולה,629,307,322
"1,196",מחנה יתיר,293,138,155
308,מחניים,832,398,434
776,מחסיה,481,254,228
43,מטולה,"1,654",838,816
822,מטע,949,460,489
"1,128",מי עמי,364,187,176
"2,054",מיטב,459,246,213
"4,019",מיצר,289,134,155
"1,282",מירב,742,365,376
607,מירון,"1,076",472,604
731,מישר,806,401,405
"1,268",מיתר,"9,980","5,010","4,970"
"3,614",מכורה,178,92,86
382,מכמורת,"1,459",705,754
"1,202",מכמנים,576,282,294
164,מלאה,389,211,178
"2,044",מלילות,371,187,184
596,מלכייה,463,224,239
"1,154",מלכישוע,241,193,48
"2,030",מנוחה,640,326,314
"1,174",מנוף,864,418,446
"1,205",מנות,475,239,236
48,מנחמיה,"1,054",542,511
347,מנרה,259,142,117
"1,258",מסד,377,180,197
263,מסדה,354,173,181
298,מסילות,446,219,227
742,מסילת ציון,"1,244",609,635
748,מסלול,885,437,449
197,מעברות,992,494,497
"1,082",מעגלים,"2,080","1,042","1,038"
678,מעגן,383,193,190
694,מעגן מיכאל,"2,066","1,036","1,030"
272,מעוז חיים,489,256,233
"3,657",מעון,594,292,302
570,מעונה,978,497,481
416,מעיין ברוך,695,360,334
290,מעיין צבי,742,342,400
"3,616",מעלה אדומים,"37,846","18,525","19,321"
"3,608",מעלה אפרים,"1,255",665,590
"1,127",מעלה גלבוע,804,465,340
"4,008",מעלה גמלא,559,287,271
286,מעלה החמישה,819,398,421
"3,752",מעלה לבונה,946,385,561
"3,651",מעלה מכמש,"1,635",810,825
"3,653",מעלה עמוס,720,347,373
344,מענית,834,396,438
230,מעש,847,403,445
668,מפלסים,"1,034",514,520
"3,745",מצדות יהודה,602,331,271
325,מצובה,"1,153",582,571
757,מצליח,"1,347",698,649
58,מצפה,131,65,66
"1,222","מצפה אבי""ב","1,086",559,527
"1,370",מצפה אילן,725,356,369
"3,576",מצפה יריחו,"2,577","1,481","1,096"
"1,190",מצפה נטופה,"1,035",524,511
99,מצפה רמון,"5,185","2,852","2,333"
"3,610",מצפה שלם,244,143,100
648,מצר,389,187,202
22,מקווה ישראל,374,212,162
843,מרגליות,409,218,191
"4,101",מרום גולן,743,374,369
"1,340",מרחב עם,515,249,266
97,מרחביה (מושב),666,328,339
66,מרחביה (קיבוץ),"1,272",597,675
"1,098",מרכז שפירא,"2,467","1,422","1,044"
421,משאבי שדה,468,229,239
765,משגב דב,721,355,365
378,משגב עם,333,152,182
"3,605",משואה,180,92,88
620,משואות יצחק,708,325,383
"3,785",משכיות,333,178,155
670,משמר איילון,563,291,272
563,משמר דוד,"1,137",564,573
732,משמר הירדן,868,441,428
395,משמר הנגב,"1,034",517,517
130,משמר העמק,"1,284",620,664
729,משמר השבעה,"1,060",538,522
194,משמר השרון,622,312,311
213,משמרות,"1,117",554,563
425,משמרת,"1,044",507,537
791,משען,"1,071",552,518
"1,315",מתן,"3,632","1,827","1,805"
"1,184",מתת,220,117,103
"3,648",מתתיהו,898,540,358
"4,551",נאות גולן,637,322,315
"1,124",נאות הכיכר,442,235,207
408,נאות מרדכי,650,324,326
"1,197",נאות סמדר,228,114,114
396,נבטים,"1,054",524,529
315,נגבה,963,464,499
"3,724",נגוהות,376,198,179
309,נהורה,"1,184",602,583
80,נהלל,"1,180",594,586
"9,100",נהרייה,"59,156","28,757","30,399"
"4,304",נוב,995,427,568
55,נוגה,581,296,285
"1,366",נווה,"1,314",776,538
926,נווה אבות,50,20,31
590,נווה אור,350,186,165
"4,303","נווה אטי""ב",127,63,63
405,נווה אילן,986,462,524
296,נווה איתן,301,164,137
"3,725",נווה דניאל,"2,340","1,167","1,173"
"1,057",נווה זוהר,54,28,25
"1,314",נווה זיו,974,482,492
"1,279",נווה חריף,103,55,48
312,נווה ים,237,117,120
686,נווה ימין,"1,078",560,518
858,נווה ירק,"1,279",634,645
827,נווה מבטח,701,372,329
"1,071",נווה מיכאל,878,469,409
"3,573",נווה צוף,"1,494",716,778
15,נועם,363,191,172
"1,333",נוף איילון,"2,080",991,"1,089"
"3,790",נופים,949,475,474
"1,284",נופית,"2,597","1,326","1,271"
257,נופך,605,292,313
"3,726",נוקדים,"2,591","1,393","1,198"
447,נורדייה,"2,233","1,067","1,167"
833,נורית,213,106,107
59,נחושה,"1,496",770,726
844,נחל עוז,469,234,235
"2,045",נחלה,711,357,353
"3,767",נחליאל,735,384,352
449,נחלים,"1,848","1,139",709
809,נחם,548,271,276
433,נחשולים,695,314,381
777,נחשון,588,286,302
705,נחשונים,418,207,211
"1,147",נטועה,303,156,148
"4,014",נטור,871,558,314
"1,369",נטע,674,334,340
174,נטעים,627,308,319
"1,254",נטף,459,236,223
"3,655","ניל""י","1,848",956,892
351,ניצן,"2,573","1,170","1,403"
"1,419",ניצן ב',443,234,210
"1,195",ניצנה (קהילת חינוך),348,245,102
"1,280",ניצני סיני,286,134,152
851,ניצני עוז,"1,110",548,562
359,ניצנים,524,268,256
808,ניר אליהו,562,288,274
553,ניר בנים,745,370,375
720,ניר גלים,"1,408",743,666
256,ניר דוד (תל עמל),739,370,369
11,"ניר ח""ן",564,274,290
165,ניר יפה,725,364,361
402,ניר יצחק,640,328,312
699,ניר ישראל,888,431,457
"2,047",ניר משה,593,304,289
69,ניר עוז,386,192,194
348,ניר עם,644,336,308
769,ניר עציון,967,526,440
"2,048",ניר עקיבא,666,319,347
331,ניר צבי,"1,283",632,651
602,נירים,370,183,187
"1,236",נירית,936,470,466
825,נס הרים,"1,452",733,719
"1,143",נס עמים,429,237,192
"7,200",נס ציונה,"50,706","24,967","25,739"
186,נעורים,413,264,150
