settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,dist_num,religion_num,overall_population_2020,altitude_avg,education_quality_measures,education_success,educated_population,crime_score_percent,religion,district_name,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,B-C,A,nature_rate,job_demands,log_population,large_district
רמת השרון,"2,650",25.77,1.24,79.26,74.58,55.9,58.3,3.07,"1,028",43.39,9.0,3.28,1.65,1.71,1.09,1.67,1.58,4.266253591,,51,1.0,47512.0,39.0,0.5705673717243538,2.3711324333115558,3.234108452253114,2.483583094797104,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.6254634355793662,3837,10.768737589695696,center
כרמיאל,"1,139",26.66,1.53,73.23,59.63,21.33,37.0,3.02,885,39.77,9.53,3.3,0.15,-0.18,0.61,0.97,0.77,-1.808814124,0.779743704,24,1.0,46122.0,270.0,0.4202031727887584,1.7260988227458887,1.9531589007083068,5.691427084688435,יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.396238760538374,778,10.739045338577187,north_west
טבריה,"6,700",24.05,2.0,61.43,41.47,10.07,29.1,1.84,984,34.25,9.2,3.43,-0.95,-0.95,-0.31,0.58,0.23,-1.849056611,,22,1.0,45867.0,11.0,0.5173858028347726,1.2068455599729655,1.146089036693625,5.099526892973161,יהודי,כנרת,1.0,3.4,0.0,11.9,14.3,14.3,5.5,3.0,0.0,1.6,1.3,7.7,4.2,11.7,5.6,0.0,0.0,10.2,2.5,0.9378956152550616,616,10.733501183228723,far_east_north
קריית מוצקין,"8,200",27.98,0.94,79.15,71.49,28.99,38.3,2.78,636,38.68,11.02,2.92,0.05,-0.01,0.33,1.14,0.47,-1.4662370569999998,0.836605195,31,1.0,45463.0,9.0,0.16665132024747564,2.006172895448895,2.009841045998824,2.5603237797769616,יהודי,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,0.7804786923482961,2369,10.724654087310103,north_west
טייבה,"2,730",27.11,2.09,74.28,60.63,13.49,29.9,3.01,918,40.2,11.67,2.74,-1.0,-0.53,-0.79,-0.45,-0.67,-1.145329022,,41,2.0,44585.0,64.0,0.19063914797296466,1.56147777306547,1.2941579808809616,0.03588650891555455,לא יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.333522188445347,4024,10.70515275856898,center
פרדס חנה-כרכור,"7,800",27.17,1.61,75.48,64.94,41.91,30.1,2.43,824,36.04,11.17,2.65,0.38,0.18,0.48,0.64,0.57,-1.716978706,0.912752118,32,1.0,43760.0,48.0,0.09506960069656767,1.676048955916878,2.3027625899732778,4.798903107861061,יהודי,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.4422232513373968,2415,10.686475437095863,north_west
שפרעם,"8,800",25.99,1.83,56.5,48.15,11.31,27.6,2.45,789,40.43,12.12,2.65,-0.8,-0.77,-1.0,-0.86,-0.8,-1.844929176,,24,2.0,42509.0,137.0,0.23202835135024358,1.2190035290620056,1.1841010526012152,0.27288338939989176,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.7809205993481587,1555,10.65747109719941,north_west
קריית ביאליק,"9,500",27.21,1.45,78.89,68.44,26.57,34.3,2.63,593,40.13,11.03,2.85,-0.02,-0.19,0.22,1.18,0.47,-1.464689269,0.8522258290000001,31,1.0,41912.0,12.0,0.2315659467728277,1.8438686276326064,1.8952259874971729,2.8559839664058027,יהודי,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,0.8056761023034408,2369,10.643327461088056,north_west
קריית אונו,"2,620",29.43,0.55,89.46,88.29,56.84,55.8,3.3,723,43.98,11.88,2.6,1.11,1.11,0.89,1.15,0.66,4.593352779,,52,1.0,40835.0,61.0,0.07753971335982524,2.6593271764261326,3.0020974412146693,1.682380311007714,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.4188859280073791,4292,10.617294835792377,center
נתיבות,246,23.3,1.7,62.59,39.8,14.68,31.4,2.27,794,28.21,13.0,2.55,-0.75,-0.89,-0.18,-0.31,-0.51,-1.861438915,,62,1.0,39703.0,133.0,0.09393942406019928,1.2737181752101114,1.3295230560099514,3.8510943757398683,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.5816019777369154,1649,10.589182030570889,south
