עיר,שנות_לימוד_ערך,עובדים_אקדמאים_מנהלים_ערך,בוגרי_אדקמיה_ערך,משכורת_ערך,אינטרנט_ערך,עבודה_10,פריפריה_ערך
נתיבות,-0.75,-0.89,-0.18,-0.31,-0.51,-1.861438915,
נתניה,0.06,-0.19,0.08,0.4,0.43,-1.66848135,
סאג'ור,-0.66,-0.75,-0.75,-1,-1.29,-1.809845983,
סח'נין,-0.86,-0.63,-0.8,-1.22,-1.26,-1.833062802,
עומר,2.51,4.04,1.83,2.14,1.95,-1.809330054,
עיילבון,0.22,0.23,-0.32,-1,-0.47,-1.844413247,
עילוט,-1.41,-0.87,-1.86,0.19,-0.45,-1.66848135,
עין מאהל,-0.96,-0.84,-0.94,-0.06,-0.29,-1.808298195,
עכו,-0.86,-0.86,-0.43,0.33,-0.26,-1.486358301,
עמנואל,-0.9,-0.81,-0.05,-0.73,-0.28,-1.900133613,
עפולה,-0.54,-0.74,-0.24,0.69,0.31,-1.84234953,
עראבה,-0.5,-0.62,-0.8,-1.39,-1.27,-1.837706166,
ערד,-0.19,-0.53,0.15,1.13,0.57,-1.90271326,
ערערה,-0.55,-0.54,-0.41,-1.92,-1.08,-1.807782266,
ערערה-בנגב,-1.26,-0.98,-3.96,-0.17,-1.09,-1.903229189,
פוריידיס,-0.94,-0.92,-1.29,-1.88,-2.06,-1.735552161,
פסוטה,-0.47,-0.88,-0.48,-0.83,-0.23,-1.904776977,
פקיעין (בוקייעה),0.17,-0.1,-0.33,-0.72,-0.43,-1.852668116,
פרדס חנה-כרכור,0.38,0.18,0.48,0.64,0.57,-1.716978706,
פרדסייה,0.01,-0.15,0.65,0.46,0.86,-1.213947621,
פתח תקווה,0.45,0.12,0.39,0.43,0.36,4.470045672,
צפת,-0.55,-0.37,-0.06,0.46,-0.01,-1.90271326,
קדומים,0.78,1.38,0.85,0.39,-0.09,-1.904776977,
קלנסווה,-1.34,-0.97,-1.3,-1.71,-1.68,-0.954951103,
קצרין,-0.15,-0.02,0.2,0.96,0.68,-1.904776977,
קריית אונו,1.11,1.11,0.89,1.15,0.66,4.593352779,
קריית ארבע,0.33,-0.17,0.45,0.21,-0.16,-1.904776977,
קריית אתא,-0.5,-0.57,-0.01,0.7,0.3,-1.454886612,
קריית ביאליק,-0.02,-0.19,0.22,1.18,0.47,-1.464689269,
קריית גת,-0.69,-0.86,-0.27,0.2,-0.11,-1.839253954,
קריית טבעון,1.42,1.65,1.37,1.09,1.09,-1.639589308,
קריית ים,-0.38,-0.74,-0.19,0.77,0.09,-1.464689269,
קריית יערים,-0.4,0.7,0.52,-0.92,-0.47,-1.380076861,
קריית מוצקין,0.05,-0.01,0.33,1.14,0.47,-1.466237057,
קריית מלאכי,-1.05,-1.06,-0.89,0.3,-0.34,-1.802622972,
קריית עקרון,-0.77,-0.87,-0.22,0.16,0.19,-1.492549453,
קריית שמונה,-0.69,-0.85,-0.12,1.01,0.15,-1.887235381,
קרני שומרון,0.73,0.82,0.76,0.19,0.55,-1.817584923,
ראמה,-0.34,-0.16,-0.06,-0.68,-0.48,-1.816037135,
ראש העין,0.25,0.29,0.49,-0.11,0.33,4.158424364,
ראש פינה,0.25,0.67,0.64,1.63,1.38,-1.903229189,
ראשון לציון,0.18,0.08,0.26,0.43,0.43,0.932318341,
רהט,-1.46,-1.06,-2.11,0.09,-0.7,-1.864018561,
רחובות,0.71,0.63,0.56,0.69,0.51,-1.416707843,
ריינה,-1.04,-0.73,-0.81,-0.99,-1,-1.808298195,
רכסים,-1.35,-0.08,0.11,-0.96,-0.79,-1.295464453,
רמלה,-1.07,-1.09,-0.74,-0.35,-0.46,-1.115921051,
רמת גן,1.01,0.6,0.86,0.85,0.73,4.283795188,
רמת השרון,1.65,1.71,1.09,1.67,1.58,4.266253591,
רמת ישי,1.27,1.27,0.96,0.89,1.06,-1.693245957,
רעננה,1.65,1.46,1.16,1.25,1.34,4.139334979,
שבלי - אום אל-גנם,-1.22,-1.36,-1.13,-1.12,-1.22,-1.80417076,
שגב-שלום,-1.16,-0.88,-2.58,0.72,-0.74,-1.812425629,
שדרות,-0.72,-0.74,-0.35,0.01,-0.29,-1.645264531,
שוהם,2.14,2.17,1.52,0.1,0.45,0.731621836,
שלומי,-0.53,-0.69,0.09,0.52,0.27,-1.869693784,
שעב,-0.89,-0.75,-1.47,-1.41,-1.41,-1.821712357,
שפרעם,-0.8,-0.77,-1,-0.86,-0.8,-1.844929176,
תל אביב -יפו,1.23,1.08,0.9,0.92,0.95,2.814944421,
תל מונד,2.11,2.29,1.16,0.79,1.13,-0.385881066,
תל שבע,-1.65,-1.44,-4.88,0.64,-0.87,-1.812425629,
