settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,dist_num,religion_num,overall_population_2020,altitude_avg,crime_score_percent,religion,district_name,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,B-C,A,nature_rate,job_demands,log_population,large_district
דייר חנא,492,25.21,2.28,89.33,67.98,15.33,29.4,3.32,200,40.5,12.39,2.61,-0.46,-0.49,-0.58,-1.38,-1.15,-1.838222095,,24,2.0,10486.0,226.0,1.6688918558077435,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.9733006437117264,1555,9.257796313132479,north_west
ג'לג'וליה,627,27.2,3.62,61.71,52.57,10.28,23.6,2.5,238,31.93,10.32,3.0,1.89,1.54,1.34,1.09,0.8,3.666227795,,42,2.0,10356.0,37.0,1.2649671687910389,לא יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.4737948502432267,3011,9.245321340871428,center
כפר יאסיף,507,28.42,0.95,71.82,68.51,20.97,33.6,3.08,217,41.01,10.27,3.2,-0.24,-0.06,-0.02,-1.11,-0.72,-1.85731148,,24,2.0,10244.0,58.0,16.175322139789145,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.7826684937668733,1555,9.234447447319416,north_west
בועיינה-נוג'ידאת,482,23.88,1.11,64.56,45.63,10.68,31.8,2.91,255,37.65,10.6,3.18,-0.97,-0.63,-1.24,-0.98,-1.11,-1.830999085,,25,2.0,9996.0,216.0,1.5406162464985995,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.8711194252189695,616,9.209940291954844,far_east_north
מיתר,"1,268",29.14,,88.24,84.97,63.52,50.0,4.63,196,37.24,13.49,2.44,2.33,2.25,1.55,1.03,1.63,-1.87227343,,62,1.0,9980.0,457.0,2.414829659318637,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.8362815066867774,568,9.20833836930551,south
ביר אל-מכסור,998,23.81,,41.67,33.33,7.88,15.5,1.74,234,36.75,11.74,2.81,-1.2,-1.15,-1.56,-0.71,-1.14,-1.7923043859999999,,24,2.0,9730.0,243.0,1.6238437821171636,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.9693673912784224,1555,9.18296917518005,north_west
חצור הגלילית,"2,034",19.76,1.43,50.78,38.28,13.11,19.2,2.25,287,34.84,7.96,3.8,-1.02,-0.94,-0.43,0.41,-0.55,-1.9032291890000002,,21,1.0,9569.0,431.0,2.8216114536524195,יהודי,צפת,,3.6,3.1,10.6,13.4,11.2,3.9,4.1,0.0,1.5,0.9,8.6,4.5,8.0,3.7,0.0,0.0,14.8,6.8,1.3034470168227357,778,9.166283985779263,far_east_north
קרני שומרון,"3,640",27.64,0.86,76.32,67.54,38.94,,4.64,246,35.37,8.85,3.5,0.73,0.82,0.76,0.19,0.55,-1.817584923,,73,1.0,9417.0,316.0,1.1468620579802484,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,1.5403731863093812,892,9.150271845510064,jerusalem
כסרא-סמיע,"1,296",24.48,1.24,93.29,55.7,13.11,18.3,2.47,245,35.51,8.92,3.58,-1.33,-1.17,-1.87,-0.97,-1.41,-1.8433813890000001,,24,2.0,8965.0,624.0,1.3385387618516453,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.4309545685751603,778,9.101083386039234,north_west
אורנית,"3,760",27.74,0.8,83.7,78.52,48.79,,3.45,169,42.6,17.55,1.8,1.11,1.23,0.95,0.97,1.65,0.20227835600000002,,73,1.0,8965.0,125.0,1.1042944785276074,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,0.4818406167450106,892,9.101083386039234,jerusalem
כוכב יאיר,"1,224",26.49,0.3,93.37,89.16,62.77,55.0,5.24,115,51.3,17.92,1.73,2.17,2.12,1.44,0.82,1.21,-0.56439261,,42,1.0,8735.0,95.0,1.9004006868918146,יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.3964520401420327,4024,9.075093222568157,center
עילוט,511,24.22,2.87,62.58,50.32,2.94,16.0,1.17,197,28.93,11.55,2.82,-1.41,-0.87,-1.86,0.19,-0.45,-1.66848135,,25,2.0,8537.0,275.0,22.361485299285462,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.8729750469307421,1494,9.052164937010307,far_east_north
משהד,520,25.73,,65.08,49.21,10.59,35.0,2.7,226,33.19,10.68,2.91,-1.11,-0.55,-1.14,-0.57,-0.9,-1.807782266,,25,2.0,8486.0,270.0,1.6733443318406787,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.7651474967750816,1494,9.04617302576227,far_east_north
זרזיר,975,24.53,,59.73,44.97,10.02,23.0,2.2,188,35.64,12.12,2.74,-1.37,-1.2,-1.33,-1.13,-1.36,-1.699953038,,23,2.0,8275.0,183.0,21.365558912386707,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.0230361560824042,1494,9.020994200245264,far_east_north
בסמת טבעון,944,22.94,0.73,63.01,45.89,8.11,29.5,2.05,164,36.59,12.78,2.53,-1.38,-1.44,-1.26,-0.39,-1.25,-1.6958256040000002,,23,2.0,7997.0,189.0,4.064024009003376,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.6630609306454107,2369,8.98682175033189,far_east_north
אלפי מנשה,"3,750",29.09,0.45,81.2,75.21,36.51,,2.56,124,40.32,17.73,1.76,0.56,1.06,0.81,1.07,1.39,-0.20324208800000002,,73,1.0,7997.0,183.0,1.6631236713767663,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,0.4072075004232764,4024,8.98682175033189,jerusalem
רמת ישי,122,30.32,0.44,79.8,75.76,52.18,,4.76,80,37.5,20.69,1.43,1.27,1.27,0.96,0.89,1.06,-1.6932459569999998,,23,1.0,7897.0,93.0,1.4815752817525643,יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,0.9565436380616026,2369,8.97423821949758,far_east_north
ראמה,543,27.24,0.9,75.0,62.88,20.53,38.7,3.39,216,27.78,8.22,3.88,-0.34,-0.16,-0.06,-0.68,-0.48,-1.816037135,,24,2.0,7792.0,382.0,1.1678644763860369,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.6348015543098668,778,8.960852845322371,north_west
אבו גוש,472,22.58,4.93,59.29,37.17,13.03,,3.74,183,33.33,9.91,3.06,-1.22,-1.05,-1.0,-1.64,-1.72,-1.3816246490000001,,11,2.0,7771.0,686.0,2.7795650495431734,לא יהודי,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,1.0875882481836978,1206,8.958154135209242,jerusalem
עומר,666,28.66,0.83,86.89,83.61,59.72,,4.06,135,42.22,14.23,2.31,2.51,4.04,1.83,2.14,1.95,-1.8093300540000001,,62,1.0,7570.0,331.0,13.091149273447819,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.7728732839709177,568,8.931948346431495,south
קצרין,"4,100",23.58,2.01,66.67,54.05,17.46,,3.36,169,37.87,10.17,3.1,-0.15,-0.02,0.2,0.96,0.68,-1.9047769769999998,,29,1.0,7500.0,331.0,2.7333333333333334,יהודי,גולן,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,1.5393598752344864,778,8.922658299524402,far_east_north
קריית ארבע,"3,611",20.85,2.11,68.33,55.0,26.43,35.7,4.5,365,39.18,5.69,4.96,0.33,-0.17,0.45,0.21,-0.16,-1.9047769769999998,,77,1.0,7338.0,913.0,2.1804306350504223,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,0.8180315702172897,892,8.900821604915228,jerusalem
בית דגן,466,29.0,0.7,85.84,79.65,26.05,42.5,3.13,51,37.25,33.28,0.9,0.08,-0.12,0.15,0.91,2.29,3.3437719710000002,,43,1.0,7299.0,34.0,1.0686395396629675,יהודי,רמלה,1.6,2.7,1.8,10.4,9.5,14.1,4.6,7.4,0.7,4.5,6.9,3.2,7.4,11.0,3.7,0.0,0.0,10.0,0.0,0.3551320093546036,5812,8.895492631451633,center
זמר,"1,290",24.76,1.56,57.86,52.14,12.73,33.6,2.7,139,41.73,12.79,2.62,-0.94,-0.91,-0.78,-0.91,-0.69,-1.856795551,,41,2.0,7252.0,86.0,2.564809707666851,לא יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.20673755756497456,4024,8.889032571874742,center
שעב,538,23.58,2.82,51.24,36.36,9.96,,2.9,159,34.59,11.48,2.99,-0.89,-0.75,-1.47,-1.41,-1.41,-1.8217123569999998,,24,2.0,7228.0,52.0,2.684006640841173,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.9213282296392521,1555,8.885717651712119,north_west
"בני עי""ש","1,066",26.43,1.75,66.28,51.16,12.23,,2.25,,,,,0.47,-0.49,0.29,-0.32,-0.32,-1.635977803,,44,1.0,6925.0,75.0,3.7256317689530687,יהודי,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.4516577233328558,0,8.842893331055539,center
יאנוח-ג'ת,"1,295",23.43,2.27,82.76,60.34,16.21,35.4,2.82,161,47.83,10.13,3.35,-0.61,-1.21,-0.77,-1.52,-0.99,-1.8402858130000002,,24,2.0,6775.0,466.0,1.8597785977859778,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.3395885259144469,778,8.820994645747902,north_west
שלומי,812,27.6,,66.0,54.0,16.21,,2.11,114,36.84,12.91,2.51,-0.53,-0.69,0.09,0.52,0.27,-1.869693784,,24,1.0,6754.0,72.0,1.2140953509031684,יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.9902291670285156,1555,8.817890200945513,north_west
להבים,"1,271",28.79,0.55,87.5,82.81,70.26,58.3,6.35,,,,,1.75,2.35,1.69,0.43,1.24,-1.78920881,,62,1.0,6694.0,296.0,5.781296683597251,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.7941092049623539,568,8.808966881771273,south
בוקעאתא,"4,001",23.43,,84.75,66.95,6.18,,2.62,151,44.37,9.99,3.38,-0.88,-0.84,-1.38,-2.76,-1.52,-1.9042610480000002,,29,2.0,6665.0,1096.0,,לא יהודי,גולן,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,0.9906939365795382,778,8.804625232612809,far_east_north
פרדסייה,171,27.89,0.95,90.8,78.16,48.06,48.2,4.3,,,,,0.01,-0.15,0.65,0.46,0.86,-1.213947621,,41,1.0,6641.0,52.0,5.104652913717814,יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.3768168341760199,3185,8.801017833540714,center
ג'ולס,485,24.0,0.78,71.3,62.96,19.55,,3.97,127,46.46,10.75,2.92,1.98,2.18,1.25,0.67,0.68,-1.8361583780000001,,24,2.0,6567.0,111.0,37.536165676869196,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.8280201056775228,1555,8.789812386190972,north_west
חורפיש,496,24.11,,91.15,81.42,22.69,44.5,4.37,158,34.18,9.62,3.36,-0.42,-0.36,-0.44,-1.15,-1.06,-1.852152187,,24,2.0,6490.0,677.0,1.4021571648690292,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.48192360368298,778,8.778017809698136,north_west
קריית יערים,"1,137",24.88,1.69,24.07,18.52,15.67,,2.13,87,18.39,13.98,1.5,-0.4,0.7,0.52,-0.92,-0.47,-1.380076861,,11,1.0,6238.0,710.0,1.2023084321898045,יהודי,ירושלים,1.6,3.7,2.3,12.4,18.4,11.4,4.3,6.3,1.1,1.9,4.2,5.7,4.1,10.6,5.3,0.4,0.3,5.4,0.2,1.1226293384324135,1206,8.738414897167749,jerusalem
שבלי - אום אל-גנם,913,24.93,6.19,56.25,45.83,11.03,,2.26,159,43.4,12.46,2.55,-1.22,-1.36,-1.13,-1.12,-1.22,-1.80417076,,23,2.0,6151.0,179.0,,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.302010047158262,1494,8.724369949208368,far_east_north
פקיעין (בוקייעה),536,25.85,0.55,92.71,88.54,20.12,43.1,3.62,106,28.3,11.16,2.84,0.17,-0.1,-0.33,-0.72,-0.43,-1.852668116,,24,2.0,5975.0,618.0,,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.536112996379988,778,8.695339376799712,north_west
עיילבון,530,29.22,1.56,55.34,47.57,21.47,,3.54,98,37.76,13.22,2.6,0.22,0.23,-0.32,-1.0,-0.47,-1.8444132469999999,,22,2.0,5787.0,173.0,1.434249179194747,לא יהודי,כנרת,1.0,3.4,0.0,11.9,14.3,14.3,5.5,3.0,0.0,1.6,1.3,7.7,4.2,11.7,5.6,0.0,0.0,10.2,2.5,1.1242975902159138,616,8.663369301573839,far_east_north
בית אל,"3,574",27.5,0.82,89.76,79.53,47.92,39.3,6.44,320,50.31,6.71,4.49,1.17,0.76,0.96,0.02,-0.28,-1.886203522,,74,1.0,5684.0,853.0,22.67769176636172,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,0.6066587160272188,892,8.64541048921699,jerusalem
כעביה-טבאש-חג'אג'רה,978,26.27,0.4,66.67,45.19,12.83,,2.61,135,43.7,12.06,2.72,-0.78,-1.29,-1.22,0.67,-1.13,-1.695309674,,25,2.0,5624.0,164.0,2.0092460881934566,לא יהודי,יזרעאל,0.6,2.6,1.2,11.2,12.3,9.2,4.5,5.5,0.3,1.6,1.6,3.3,5.3,10.1,11.4,0.4,0.4,16.5,1.9,1.926711239684648,1494,8.6347984334905,far_east_north
כפר ורדים,"1,263",28.23,,82.46,80.7,55.31,,4.45,165,48.48,7.52,4.2,2.17,1.92,1.53,0.84,1.86,-1.841833601,,24,1.0,5492.0,533.0,4.09686817188638,יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.2254246831340314,778,8.61104776688786,north_west
מצפה רמון,99,18.38,2.22,87.93,75.86,22.75,30.9,3.28,159,27.04,7.64,3.66,-0.72,-0.74,0.22,0.32,-0.43,-1.769087567,,62,1.0,5185.0,712.0,4.127290260366442,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.955155804107489,568,8.553525120663627,south
קדומים,"3,557",24.13,1.56,84.78,77.17,54.37,,4.17,216,47.69,6.94,4.15,0.78,1.38,0.85,0.39,-0.09,-1.9047769769999998,,73,1.0,4586.0,417.0,1.439162668992586,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,0.3039407368128855,892,8.43076346341785,jerusalem
סאג'ור,525,25.13,0.65,78.48,67.09,16.12,,3.68,89,42.7,11.88,2.67,-0.66,-0.75,-0.75,-1.0,-1.29,-1.8098459830000002,,24,2.0,4358.0,342.0,1.35383203304268,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.5433629632914736,778,8.379768515504566,north_west
יבנאל,46,17.34,9.53,54.93,36.62,15.85,,1.85,109,16.51,11.59,3.23,-0.54,-0.71,-0.03,0.89,0.36,-1.845445106,,22,1.0,4332.0,14.0,3.070175438596491,יהודי,כנרת,1.0,3.4,0.0,11.9,14.3,14.3,5.5,3.0,0.0,1.6,1.3,7.7,4.2,11.7,5.6,0.0,0.0,10.2,2.5,0.9412662973127768,616,8.37378460812088,far_east_north
עמנואל,"3,660",15.17,3.49,43.28,20.9,6.68,,0.79,103,23.3,10.92,2.31,-0.9,-0.81,-0.05,-0.73,-0.28,-1.9001336130000002,,73,1.0,4129.0,363.0,2.5672075563090337,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,0.694954704023138,892,8.32579052588609,jerusalem
מזרעה,517,25.58,,60.38,49.06,10.2,,1.97,57,26.32,14.17,2.17,-1.23,-1.08,-1.16,-0.84,-1.21,-1.884655734,,24,2.0,3998.0,14.0,4.052026013006503,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.0773448979719489,1555,8.293549515060345,north_west
אלקנה,"3,560",26.6,0.0,96.83,92.06,68.87,,6.72,152,48.03,5.96,5.11,2.6,3.52,1.46,0.73,1.08,-0.97300863,,73,1.0,3911.0,228.0,1.0994630529276401,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,0.5924844596890779,892,8.271548374755515,jerusalem
כפר ברא,633,29.33,2.54,65.79,44.74,15.39,,3.4,111,32.43,8.84,3.27,-0.41,-0.21,-0.55,-1.48,-1.42,1.5359556419999998,,42,2.0,3754.0,108.0,2.876931273308471,לא יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.5137057172403245,3012,8.230577217146454,center
מסעדה,"4,203",26.44,,87.72,70.18,5.42,,2.73,124,39.52,7.69,4.28,-1.09,-0.94,-1.23,-2.8,-1.7,-1.9047769769999998,,29,2.0,3753.0,1035.0,10.711430855315747,לא יהודי,גולן,0.8,2.7,1.5,10.7,12.9,9.3,4.2,4.8,0.4,1.5,1.8,4.4,4.7,10.8,9.2,0.6,0.3,16.9,2.5,1.2240110880168449,778,8.23031079913502,far_east_north
כאוכב אבו אל-היג'א,505,28.2,0.89,92.31,70.77,20.99,,4.01,96,38.54,9.97,3.34,-0.64,-0.23,-0.72,-1.56,-1.53,-1.9047769769999998,,24,2.0,3668.0,368.0,2.97164667393675,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.233524472224648,1555,8.207401833376355,north_west
אליכין,41,21.5,0.84,60.78,50.98,26.27,,2.84,,,,,-0.14,-0.31,0.18,0.95,1.09,-1.5756140730000001,0.8871618179999999,41,1.0,3484.0,31.0,2.898966704936854,יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.5106477694682506,2415,8.155936337972394,center
מעיליא,518,23.83,,75.44,75.44,31.46,,3.97,76,44.74,10.2,3.31,0.28,0.8,0.59,-0.37,-0.03,-1.8485406819999999,,24,2.0,3270.0,502.0,3.7920489296636086,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.7480341159641204,778,8.0925452638913,north_west
ראש פינה,26,29.43,1.82,72.73,68.18,38.35,,4.28,,,,,0.25,0.67,0.64,1.63,1.38,-1.9032291890000002,,21,1.0,3217.0,308.0,9.72956170345042,יהודי,צפת,,3.6,3.1,10.6,13.4,11.2,3.9,4.1,0.0,1.5,0.9,8.6,4.5,8.0,3.7,0.0,0.0,14.8,6.8,1.3805599348237565,778,8.076204527239026,far_east_north
ג'ש (גוש חלב),487,24.42,0.0,68.29,63.41,25.58,,4.4,56,37.5,14.48,2.33,0.42,0.28,0.47,0.4,0.57,-1.9047769769999998,,21,2.0,3127.0,744.0,,לא יהודי,צפת,,3.6,3.1,10.6,13.4,11.2,3.9,4.1,0.0,1.5,0.9,8.6,4.5,8.0,3.7,0.0,0.0,14.8,6.8,1.488458463706112,778,8.047829357457841,far_east_north
