settlement,settlement_num_x,avg_class_size,dropout_students_percent,bagrut_elig_percent,academy_acceptance_elig_percent,academy_grad_percent_35_55_age_group,seniors_enter_academy_last_8_years,students_in_population_percent,education_workers_abs,education_workers_Wmaster_percent,avg_students_per_teacher,avg_teacher_hours_per_student,edu_years_avg_norm,academy_manager_workers_norm,academy_graduates_norm,Salary_norm,Internet_norm,work_10_norm,pollution,dist_num,religion_num,overall_population_2020,altitude_avg,crime_score_percent,religion,district_name,T,S,R,Q,P,O,N,M,L,K,J,I,H,G,F,E,D,B-C,A,nature_rate,job_demands,log_population,large_district
נס ציונה,"7,200",29.14,0.66,87.75,82.3,50.99,53.5,3.11,"1,034",44.1,10.44,2.97,0.52,0.6,0.55,0.34,0.4,-1.309910474,,44,1.0,50706.0,39.0,2.0983710014593933,יהודי,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.5891017803661638,5812,10.833799525772537,center
יבנה,"2,660",27.2,1.98,79.77,70.43,29.65,40.3,2.51,874,36.61,10.78,2.92,-0.35,-0.18,-0.02,0.08,0.16,-1.6401052369999998,0.887582759,44,1.0,49836.0,31.0,2.20523316478048,יהודי,רחובות,1.7,2.9,1.8,10.5,10.5,12.2,3.5,8.8,0.7,5.4,6.0,3.6,5.1,12.0,4.2,0.3,0.3,9.8,0.6,0.612376717349538,4319,10.816492893418754,center
עכו,"7,600",25.54,1.31,70.88,48.32,13.37,34.2,2.42,"1,102",32.49,9.01,3.58,-0.86,-0.86,-0.43,0.33,-0.26,-1.4863583009999999,,24,4.0,49503.0,8.0,6.714744560935701,ישוב מעורב,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.988096034480397,1555,10.809788552780915,north_west
אלעד,"1,309",25.17,1.35,28.61,20.15,11.17,16.7,1.15,"1,009",10.31,16.78,1.71,-0.87,-0.64,0.18,-1.8,-0.72,1.236200709,1.085064942,42,1.0,49167.0,122.0,1.3179571663920924,יהודי,פתח תקווה,1.8,2.4,1.9,10.8,10.6,10.4,4.0,8.7,1.3,5.6,9.7,4.3,3.7,11.4,4.6,0.4,0.2,7.7,0.5,0.9449532734000268,3011,10.802977945731937,center
רמת השרון,"2,650",25.77,1.24,79.26,74.58,55.9,58.3,3.07,"1,028",43.39,9.0,3.28,1.65,1.71,1.09,1.67,1.58,4.266253591,,51,1.0,47512.0,39.0,2.483583094797104,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.6254634355793662,3837,10.768737589695696,center
כרמיאל,"1,139",26.66,1.53,73.23,59.63,21.33,37.0,3.02,885,39.77,9.53,3.3,0.15,-0.18,0.61,0.97,0.77,-1.808814124,0.779743704,24,1.0,46122.0,270.0,5.691427084688435,יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,1.396238760538374,778,10.739045338577187,north_west
טבריה,"6,700",24.05,2.0,61.43,41.47,10.07,29.1,1.84,984,34.25,9.2,3.43,-0.95,-0.95,-0.31,0.58,0.23,-1.849056611,,22,1.0,45867.0,11.0,5.099526892973161,יהודי,כנרת,1.0,3.4,0.0,11.9,14.3,14.3,5.5,3.0,0.0,1.6,1.3,7.7,4.2,11.7,5.6,0.0,0.0,10.2,2.5,0.9378956152550616,616,10.733501183228723,far_east_north
קריית מוצקין,"8,200",27.98,0.94,79.15,71.49,28.99,38.3,2.78,636,38.68,11.02,2.92,0.05,-0.01,0.33,1.14,0.47,-1.4662370569999998,0.836605195,31,1.0,45463.0,9.0,2.5603237797769616,יהודי,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,0.7804786923482961,2369,10.724654087310103,north_west
טייבה,"2,730",27.11,2.09,74.28,60.63,13.49,29.9,3.01,918,40.2,11.67,2.74,-1.0,-0.53,-0.79,-0.45,-0.67,-1.145329022,,41,2.0,44585.0,64.0,0.03588650891555455,לא יהודי,השרון,2.2,2.4,1.6,11.2,10.3,10.4,4.6,8.1,1.7,2.8,6.4,4.4,3.8,14.6,5.5,0.4,0.2,7.6,1.9,0.333522188445347,4024,10.70515275856898,center
פרדס חנה-כרכור,"7,800",27.17,1.61,75.48,64.94,41.91,30.1,2.43,824,36.04,11.17,2.65,0.38,0.18,0.48,0.64,0.57,-1.716978706,0.912752118,32,1.0,43760.0,48.0,4.798903107861061,יהודי,חדרה,1.5,2.5,2.1,12.7,12.1,7.9,3.5,7.0,0.4,1.7,3.8,4.5,3.4,12.3,10.4,0.4,0.5,11.7,1.6,0.4422232513373968,2415,10.686475437095863,north_west
שפרעם,"8,800",25.99,1.83,56.5,48.15,11.31,27.6,2.45,789,40.43,12.12,2.65,-0.8,-0.77,-1.0,-0.86,-0.8,-1.844929176,,24,2.0,42509.0,137.0,0.27288338939989176,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.7809205993481587,1555,10.65747109719941,north_west
קריית ביאליק,"9,500",27.21,1.45,78.89,68.44,26.57,34.3,2.63,593,40.13,11.03,2.85,-0.02,-0.19,0.22,1.18,0.47,-1.464689269,0.8522258290000001,31,1.0,41912.0,12.0,2.8559839664058027,יהודי,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,0.8056761023034408,2369,10.643327461088056,north_west
קריית אונו,"2,620",29.43,0.55,89.46,88.29,56.84,55.8,3.3,723,43.98,11.88,2.6,1.11,1.11,0.89,1.15,0.66,4.593352779,,52,1.0,40835.0,61.0,1.682380311007714,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.4188859280073791,4292,10.617294835792377,center
נתיבות,246,23.3,1.7,62.59,39.8,14.68,31.4,2.27,794,28.21,13.0,2.55,-0.75,-0.89,-0.18,-0.31,-0.51,-1.861438915,,62,1.0,39703.0,133.0,3.8510943757398683,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.5816019777369154,1649,10.589182030570889,south
קריית ים,"9,600",26.01,1.7,66.92,48.74,13.46,35.2,1.93,619,36.35,9.58,3.22,-0.38,-0.74,-0.19,0.77,0.09,-1.464689269,0.865448731,31,1.0,39459.0,7.0,2.8738690792974984,יהודי,חיפה,1.5,2.8,2.1,13.1,11.8,9.5,4.5,9.5,1.2,2.3,4.1,3.4,5.0,10.0,4.0,0.2,1.4,13.4,0.2,0.7721153949535494,2369,10.583017437136888,north_west
מעלה אדומים,"3,616",24.31,0.55,87.33,77.38,24.87,43.9,3.87,"1,016",38.39,8.94,3.53,0.1,-0.21,0.33,-0.35,-0.31,-1.6432008130000002,,76,1.0,37846.0,330.0,3.508957353485177,יהודי,יהודה ושומרון,0.7,3.0,2.1,12.8,24.8,15.5,3.6,6.1,1.0,2.2,5.4,2.9,3.1,7.3,2.7,0.0,0.3,5.9,0.0,0.6725752679246089,892,10.541280572963995,jerusalem
אור יהודה,"2,400",24.79,0.82,72.31,57.85,13.76,40.5,2.31,583,31.73,12.73,2.31,-0.67,-0.64,-0.53,0.21,-0.21,4.080519037,0.9506562279999999,52,1.0,36770.0,29.0,2.613543649714441,יהודי,תל אביב,2.2,2.7,3.4,10.6,10.4,7.4,4.0,12.3,1.5,5.6,10.6,4.9,3.5,10.4,3.0,0.2,0.3,6.7,0.1,0.36973924744136455,4292,10.512437574295317,center
צפת,"8,000",22.63,3.25,48.19,36.95,15.39,33.1,2.72,931,31.47,9.39,3.07,-0.55,-0.37,-0.06,0.46,-0.01,-1.90271326,,21,1.0,36061.0,602.0,3.0309752918665596,יהודי,צפת,,3.6,3.1,10.6,13.4,11.2,3.9,4.1,0.0,1.5,0.9,8.6,4.5,8.0,3.7,0.0,0.0,14.8,6.8,1.448088372064548,778,10.49296722793131,far_east_north
דימונה,"2,200",22.13,1.83,69.33,56.08,11.67,26.0,2.09,765,38.95,9.46,3.51,-1.02,-1.0,-0.29,0.72,-0.21,-1.9047769769999998,,62,1.0,35269.0,453.0,6.861549802943094,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,1.3718896136685448,568,10.470759670120469,south
טמרה,"8,900",25.87,0.47,60.25,45.63,12.19,31.3,2.88,906,36.42,9.69,3.37,-1.0,-0.91,-1.2,-0.07,-0.63,-1.857827409,,24,2.0,34877.0,93.0,0.04014106717894314,לא יהודי,עכו,0.9,2.6,1.5,10.2,12.9,8.2,3.9,4.7,0.4,1.5,2.1,3.8,4.6,11.9,9.3,0.8,0.3,18.8,1.7,0.7330896961639803,1555,10.459582865149603,north_west
אופקים,31,23.89,1.27,50.24,39.81,12.26,26.6,1.84,648,24.07,10.1,2.77,-1.03,-0.91,-0.33,-0.12,-0.54,-1.9032291890000002,,62,1.0,32555.0,142.0,3.120872369835663,יהודי,באר שבע,0.8,2.1,1.6,11.1,14.6,11.6,5.2,5.0,0.4,0.7,2.9,7.2,5.2,10.9,4.8,0.7,0.4,13.2,1.7,0.8175305323893105,1649,10.390686245670963,south
