סמל היישוב,שם יישוב,"ממוצע תלמידים לכיתה בבתי ספר יסודיים תשע""ט 2018/19","אחוז תלמידים נושרים סה""כ תשע""ט 2018/19","אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב תשע""ט 2018/19","אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב תשע""ט 2018/19","השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35 תש""ף 2019/20","השכלה גבוהה אחוז הנכנסים להשכלה גבוהה בתוך 8 שנים בקרב תלמידי יב תש""ף 2019/20","השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה תש""ף 2019/20",עובדי הוראה מספר עובדי הוראה,עובדי הוראה אחוז בעלי דרגת שכר תואר שני ומעלה,עובדי הוראה ממוצע תלמידים למורה,עובדי הוראה ממוצע שעות עבודה שבועיות לתלמיד
"1,295",יאנוח-ג'ת,23.43,2.27,82.76,60.34,16.21,35.4,2.82,161,47.83,10.13,3.35
46,יבנאל,17.34,9.53,54.93,36.62,15.85,..,1.85,109,16.51,11.59,3.23
"2,660",יבנה,27.2,1.98,79.77,70.43,29.65,40.3,2.51,874,36.61,10.78,2.92
"9,400",יהוד,26,1.06,85.46,79.59,35.07,47.9,2.9,561,49.73,10.75,2.91
29,יסוד המעלה,20.33,..,-,-,46.29,..,4.1,..,..,..,..
499,יפיע,26.47,1.39,69.81,60.92,12.16,37,3.05,424,43.63,11.57,2.72
240,יקנעם עילית,28.17,0.5,80.56,68.03,38.99,37.8,2.87,412,38.59,13.63,2.33
831,ירוחם,21.62,1.93,65.19,56.33,21.43,39.9,3.1,255,33.73,9.1,3.45
"3,000",ירושלים,26.09,5.01,38.32,32.99,16.35,22.3,2.68,"17,627",26.72,11.6,2.37
502,ירכא,25.03,0.72,80.92,50.33,12.34,26.3,3.05,505,27.92,7.84,3.86
504,כאבול,24.84,0.61,80.47,59.77,15.17,35.6,3.18,256,30.08,12.34,2.73
505,כאוכב אבו אל-היג'א,28.2,0.89,92.31,70.77,20.99,..,4.01,96,38.54,9.97,3.34
"1,224",כוכב יאיר,26.49,0.3,93.37,89.16,62.77,55,5.24,115,51.3,17.92,1.73
"1,059",כסיפה,26.55,2.21,51.69,40.73,12.2,21.1,2.28,694,26.37,7.96,4.23
"1,296",כסרא-סמיע,24.48,1.24,93.29,55.7,13.11,18.3,2.47,245,35.51,8.92,3.58
978,כעביה-טבאש-חג'אג'רה,26.27,0.4,66.67,45.19,12.83,..,2.61,135,43.7,12.06,2.72
633,כפר ברא,29.33,2.54,65.79,44.74,15.39,..,3.4,111,32.43,8.84,3.27
"1,263",כפר ורדים,28.23,..,82.46,80.7,55.31,..,4.45,165,48.48,7.52,4.2
507,כפר יאסיף,28.42,0.95,71.82,68.51,20.97,33.6,3.08,217,41.01,10.27,3.2
168,כפר יונה,26.93,0.62,80.3,64.18,35.76,37.3,2.29,409,39.85,13.66,2.36
508,כפר כמא,21.83,..,53.57,53.57,23.19,..,4.81,..,..,..,..
509,כפר כנא,25.71,1.37,65.75,51.16,10.77,29.6,2.53,550,31.82,11.55,2.74
510,כפר מנדא,25.71,1.67,79.09,49.28,10.46,18.3,2.13,507,32.54,10.34,3.14
"6,900",כפר סבא,27.2,0.79,81.36,74.48,47.69,45.6,2.64,"1,877",42.35,9.96,3.08
634,כפר קאסם,26.36,1.13,70.66,53.28,12.02,23.1,2.75,593,39.63,10.23,3.09
654,כפר קרע,28.04,0.48,59.82,52.79,17.97,32.5,2.63,475,38.53,9.78,3.24
267,כפר שמריהו,26.77,4.02,-,-,46.97,..,3.58,..,..,..,..
47,כפר תבור,25.71,..,86.84,80.26,52.48,..,4.53,..,..,..,..
"1,139",כרמיאל,26.66,1.53,73.23,59.63,21.33,37,3.02,885,39.77,9.53,3.3
"1,271",להבים,28.79,0.55,87.5,82.81,70.26,58.3,6.35,..,..,..,..
"7,000",לוד,25.67,1.73,57.07,44.47,11.39,25.3,1.97,"1,770",33.84,10.81,2.87
"1,060",לקיה,26.56,2.25,43.91,30.26,9.65,14.1,1.87,498,24.1,9.17,3.68
"1,015",מבשרת ציון,24.53,0.9,80.73,70.1,42.52,51.7,4.22,426,45.54,10.98,2.78
481,מגאר,25.53,0.79,76.59,59.55,13.24,37.7,2.98,511,40.31,10.76,3.03
516,מג'ד אל-כרום,28.77,0.56,65.19,53.48,10.04,28.2,2.67,434,32.95,9.62,3.29
65,מגדל,0,3.33,-,-,19.59,..,2.75,..,..,..,..
874,מגדל העמק,23.51,2.22,64.94,46.34,13.83,30.2,2.13,684,29.82,7.59,4.26
"4,201",מג'דל שמס,24.87,..,68.69,56.06,7.42,41.4,3.05,254,32.68,9.92,3.36
"3,797",מודיעין עילית,27.87,1.96,3.2,1.85,3.79,53.8,3.78,"1,058",4.35,18.85,1.07
"1,200",מודיעין-מכבים-רעות*,28.45,0.42,90.92,85.96,54.79,10.2,0.43,"2,314",47.49,10.67,2.96
28,מזכרת בתיה,28.21,0.45,83.89,78.86,53.79,50,3.56,323,43.34,13.31,2.43
517,מזרעה,25.58,..,60.38,49.06,10.2,..,1.97,57,26.32,14.17,2.17
43,מטולה,14.17,0,-,-,38.79,..,8.94,..,..,..,..
"1,268",מיתר,29.14,..,88.24,84.97,63.52,50,4.63,196,37.24,13.49,2.44
"4,203",מסעדה,26.44,..,87.72,70.18,5.42,..,2.73,124,39.52,7.69,4.28
518,מעיליא,23.83,..,75.44,75.44,31.46,..,3.97,76,44.74,10.2,3.31
"3,616",מעלה אדומים,24.31,0.55,87.33,77.38,24.87,43.9,3.87,"1,016",38.39,8.94,3.53
"3,608",מעלה אפרים,0,0,-,-,18.74,..,2.76,..,..,..,..
"1,327",מעלה עירון,24.58,0.94,59.94,51.42,10.61,23.7,2.03,318,35.22,12.28,2.76
"1,063",מעלות-תרשיחא,23.89,1.19,69.73,60.83,18.36,42.6,2.75,519,34.49,8.62,3.72
99,מצפה רמון,18.38,2.22,87.93,75.86,22.75,30.9,3.28,159,27.04,7.64,3.66
520,משהד,25.73,..,65.08,49.21,10.59,35,2.7,226,33.19,10.68,2.91
"9,100",נהרייה,27.68,1.3,71.49,59.84,21.25,39.7,2.64,931,39.63,12.01,2.66
"1,061",נוף הגליל,21.23,1.63,64.78,56.99,16.56,37,2.42,515,38.45,15.92,1.92
522,נחף,25.65,1.13,41.11,33.1,12.44,38.1,3.11,361,38.78,9.86,3.4
"7,200",נס ציונה,29.14,0.66,87.75,82.3,50.99,53.5,3.11,"1,034",44.1,10.44,2.97
"7,300",נצרת,29.17,1.58,56.49,45.14,15.01,34,2.82,"1,882",36.98,9.94,3.14
"2,500",נשר,24.77,1.61,78.48,65.47,29.66,48.4,4.68,301,43.19,12.6,2.57
